STATEFP,COUNTYFP,STNAME,CTYNAME,NAMELSAD,population,Longitude,Latitude
55,89,Wisconsin,Ozaukee County,Ozaukee County,89147,-87.59446596,43.36564873
47,163,Tennessee,Sullivan County,Sullivan County,157668,-82.30414286,36.51291541
45,59,South Carolina,Laurens County,Laurens County,66994,-82.005934,34.48356766
56,11,Wyoming,Crook County,Crook County,7450,-104.5699294,44.58860362
55,117,Wisconsin,Sheboygan County,Sheboygan County,115456,-87.63477531,43.71970693
25,13,Massachusetts,Hampden County,Hampden County,470406,-72.63164871,42.13512072
48,55,Texas,Caldwell County,Caldwell County,43247,-97.61999926,29.83711543
20,29,Kansas,Cloud County,Cloud County,8729,-97.64928191,39.48029744
6,27,California,Inyo County,Inyo County,17987,-117.4107897,36.51112681
1,37,Alabama,Coosa County,Coosa County,10715,-86.24765926,32.93622683
19,59,Iowa,Dickinson County,Dickinson County,17153,-95.15083006,43.37798476
21,95,Kentucky,Harlan County,Harlan County,26409,-83.21795182,36.85697424
20,61,Kansas,Geary County,Geary County,32594,-96.75250216,39.00238546
42,11,Pennsylvania,Berks County,Berks County,420152,-75.9259989,40.41629566
47,19,Tennessee,Carter County,Carter County,56351,-82.12747918,36.29271989
27,83,Minnesota,Lyon County,Lyon County,25629,-95.8389749,44.41349159
51,37,Virginia,Charlotte County,Charlotte County,11938,-78.66164359,37.01162066
47,179,Tennessee,Washington County,Washington County,128607,-82.49742026,36.29329663
45,71,South Carolina,Newberry County,Newberry County,38520,-81.60011986,34.2898118
51,93,Virginia,Isle of Wight County,Isle of Wight County,36953,-76.70912648,36.90672914
41,69,Oregon,Wheeler County,Wheeler County,1366,-120.0275661,44.72611901
29,23,Missouri,Butler County,Butler County,42639,-90.40655638,36.71641708
22,47,Louisiana,Iberville Parish,Iberville Parish,32721,-91.34936319,30.25849887
28,125,Mississippi,Sharkey County,Sharkey County,4377,-90.81321492,32.87972307
51,61,Virginia,Fauquier County,Fauquier County,70675,-77.80923943,38.73864644
51,750,Virginia,Radford city,Radford city,18339,-80.55874905,37.12289116
32,5,Nevada,Douglas County,Douglas County,48467,-119.616372,38.9122414
12,37,Florida,Franklin County,Franklin County,11736,-84.80045659,29.81168359
18,55,Indiana,Greene County,Greene County,32006,-86.96204636,39.03632773
18,139,Indiana,Rush County,Rush County,16663,-85.46576118,39.61994844
55,131,Wisconsin,Washington County,Washington County,135693,-88.23076169,43.3684787
29,105,Missouri,Laclede County,Laclede County,35713,-92.59035226,37.65831727
42,85,Pennsylvania,Mercer County,Mercer County,110683,-80.25770247,41.30218089
5,31,Arkansas,Craighead County,Craighead County,108558,-90.63284126,35.8307887
29,195,Missouri,Saline County,Saline County,22895,-93.20185123,39.1368391
17,193,Illinois,White County,White County,13665,-88.17956689,38.08747817
17,39,Illinois,De Witt County,De Witt County,15769,-88.90409021,40.1746286
32,33,Nevada,White Pine County,White Pine County,9475,-114.9016845,39.44219519
27,49,Minnesota,Goodhue County,Goodhue County,46403,-92.72259068,44.40984644
37,173,North Carolina,Swain County,Swain County,14245,-83.49273937,35.48681505
12,101,Florida,Pasco County,Pasco County,539630,-82.4388684,28.30673969
12,119,Florida,Sumter County,Sumter County,128754,-82.08099538,28.70482252
36,59,New York,Nassau County,Nassau County,1358343,-73.58553674,40.73214208
38,91,North Dakota,Steele County,Steele County,1903,-97.72466836,47.45615399
18,163,Indiana,Vanderburgh County,Vanderburgh County,180974,-87.58578496,38.02495786
29,71,Missouri,Franklin County,Franklin County,103670,-91.07499388,38.41114436
37,11,North Carolina,Avery County,Avery County,17505,-81.92260141,36.07660501
54,107,West Virginia,Wood County,Wood County,84203,-81.51496532,39.21113174
55,7,Wisconsin,Bayfield County,Bayfield County,15042,-91.18068472,46.63543436
47,161,Tennessee,Stewart County,Stewart County,13561,-87.83845759,36.50110436
55,97,Wisconsin,Portage County,Portage County,70942,-89.50139728,44.47602597
45,63,South Carolina,Lexington County,Lexington County,295032,-81.2721944,33.90232816
24,3,Maryland,Anne Arundel County,Anne Arundel County,576031,-76.56759706,38.99415716
55,39,Wisconsin,Fond du Lac County,Fond du Lac County,103066,-88.48826311,43.75358946
54,101,West Virginia,Webster County,Webster County,8285,-80.42187307,38.49473731
55,61,Wisconsin,Kewaunee County,Kewaunee County,20383,-87.30725329,44.50599419
48,369,Texas,Parmer County,Parmer County,9864,-102.7845382,34.53011331
40,151,Oklahoma,Woods County,Woods County,8897,-98.86511866,36.76693687
21,63,Kentucky,Elliott County,Elliott County,7508,-83.09761634,38.11789168
25,3,Massachusetts,Berkshire County,Berkshire County,126348,-73.20641121,42.37067906
29,41,Missouri,Chariton County,Chariton County,7451,-92.96262369,39.51508138
8,103,Colorado,Rio Blanco County,Rio Blanco County,6336,-108.2172258,39.97983575
8,87,Colorado,Morgan County,Morgan County,28558,-103.8098222,40.26274438
41,45,Oregon,Malheur County,Malheur County,30725,-117.6230983,43.19347509
34,23,New Jersey,Middlesex County,Middlesex County,829685,-74.40883562,40.44008367
20,167,Kansas,Russell County,Russell County,6907,-98.76235102,38.91477884
17,155,Illinois,Putnam County,Putnam County,5740,-89.28583276,41.20446936
46,55,South Dakota,Haakon County,Haakon County,1918,-101.5399858,44.29442784
47,111,Tennessee,Macon County,Macon County,24265,-86.00727014,36.53203435
5,23,Arkansas,Cleburne County,Cleburne County,24965,-92.02673573,35.53810925
1,109,Alabama,Pike County,Pike County,33338,-85.94090815,31.80270849
16,3,Idaho,Adams County,Adams County,4250,-116.4538829,44.88958802
25,5,Massachusetts,Bristol County,Bristol County,564022,-71.08850085,41.75708824
42,107,Pennsylvania,Schuylkill County,Schuylkill County,142067,-76.21595486,40.70580057
38,103,North Dakota,Wells County,Wells County,3957,-99.66095258,47.58753129
37,45,North Carolina,Cleveland County,Cleveland County,97645,-81.55554158,35.33408924
5,59,Arkansas,Hot Spring County,Hot Spring County,33701,-92.94600573,34.3176343
24,21,Maryland,Frederick County,Frederick County,255648,-77.39798434,39.47221253
17,169,Illinois,Schuyler County,Schuyler County,6907,-90.61506652,40.15802765
6,51,California,Mono County,Mono County,14250,-118.8867093,37.93899034
6,109,California,Tuolumne County,Tuolumne County,54539,-119.9547536,38.0276014
35,13,New Mexico,Do�a Ana County,Doña Ana County,217522,-106.8327212,32.35264791
13,81,Georgia,Crisp County,Crisp County,22601,-83.76810398,31.92293203
5,27,Arkansas,Columbia County,Columbia County,23537,-93.22730869,33.2142872
38,39,North Dakota,Griggs County,Griggs County,2232,-98.2370431,47.45728862
6,95,California,Solano County,Solano County,446610,-121.9400069,38.26691912
19,43,Iowa,Clayton County,Clayton County,17556,-91.34143277,42.84474931
48,449,Texas,Titus County,Titus County,33033,-94.96567223,33.21660304
54,27,West Virginia,Hampshire County,Hampshire County,23347,-78.61416844,39.31706531
37,125,North Carolina,Moore County,Moore County,98682,-79.48137443,35.31065385
20,9,Kansas,Barton County,Barton County,26111,-98.75646429,38.47896397
38,87,North Dakota,Slope County,Slope County,763,-103.4598905,46.44722237
22,83,Louisiana,Richland Parish,Richland Parish,20192,-91.7634869,32.41778981
31,71,Nebraska,Garfield County,Garfield County,1987,-98.99138528,41.91435707
22,99,Louisiana,St. Martin Parish,St. Martin Parish,53621,-91.60829574,30.12907211
1,119,Alabama,Sumter County,Sumter County,12691,-88.19878961,32.59101753
1,133,Alabama,Winston County,Winston County,23660,-87.37368337,34.14922508
12,117,Florida,Seminole County,Seminole County,467832,-81.23632791,28.71697528
28,35,Mississippi,Forrest County,Forrest County,75036,-89.25785979,31.1888694
26,65,Michigan,Ingham County,Ingham County,292735,-84.37353698,42.5970992
20,177,Kansas,Shawnee County,Shawnee County,177499,-95.75653335,39.04151444
46,61,South Dakota,Hanson County,Hanson County,3376,-97.78734268,43.67482231
27,61,Minnesota,Itasca County,Itasca County,45108,-93.63200661,47.50952555
8,73,Colorado,Lincoln County,Lincoln County,5610,-103.5139654,38.98806856
36,53,New York,Madison County,Madison County,70795,-75.66966589,42.9127746
36,115,New York,Washington County,Washington County,61197,-73.43075892,43.3137034
18,81,Indiana,Johnson County,Johnson County,156225,-86.10163686,39.48997076
48,445,Texas,Terry County,Terry County,12287,-102.3351966,33.17381266
35,21,New Mexico,Harding County,Harding County,655,-103.8200487,35.8579354
1,121,Alabama,Talladega County,Talladega County,79828,-86.16590694,33.38005741
55,67,Wisconsin,Langlade County,Langlade County,19268,-89.07190885,45.26234437
48,155,Texas,Foard County,Foard County,1200,-99.77798488,33.97461509
19,21,Iowa,Buena Vista County,Buena Vista County,19874,-95.15114897,42.73549364
19,129,Iowa,Mills County,Mills County,15063,-95.62132672,41.03345226
48,385,Texas,Real County,Real County,3478,-99.82216692,29.83174293
39,41,Ohio,Delaware County,Delaware County,204826,-83.00488534,40.27839363
37,67,North Carolina,Forsyth County,Forsyth County,379099,-80.25630002,36.13061955
32,510,Nevada,Carson City,Carson City,55414,-119.7474222,39.15114643
19,49,Iowa,Dallas County,Dallas County,90180,-94.03976193,41.68485821
48,65,Texas,Carson County,Carson County,6005,-101.354183,35.40350787
13,261,Georgia,Sumter County,Sumter County,29733,-84.1970414,32.03996923
29,223,Missouri,Wayne County,Wayne County,13122,-90.46142945,37.11263551
45,7,South Carolina,Anderson County,Anderson County,200482,-82.637885,34.51909131
56,7,Wyoming,Carbon County,Carbon County,14971,-106.9306102,41.69458927
30,93,Montana,Silver Bow County,Silver Bow County,34993,-112.6567135,45.90240445
17,177,Illinois,Stephenson County,Stephenson County,44753,-89.66235975,42.35174669
26,87,Michigan,Lapeer County,Lapeer County,88028,-83.22178372,43.09014743
22,27,Louisiana,Claiborne Parish,Claiborne Parish,15944,-92.99573324,32.82269344
28,161,Mississippi,Yalobusha County,Yalobusha County,12392,-89.70763184,34.02821156
72,93,NA,NA,Maricao Municipio,NA,-66.94228351,18.17209357
26,79,Michigan,Kalkaska County,Kalkaska County,17824,-85.0902501,44.68467641
72,5,NA,NA,Aguadilla Municipio,NA,-67.14471985,18.48029022
22,39,Louisiana,Evangeline Parish,Evangeline Parish,33443,-92.4059042,30.72893642
47,69,Tennessee,Hardeman County,Hardeman County,25220,-88.99308487,35.20686826
4,3,Arizona,Cochise County,Cochise County,126770,-109.7513001,31.87956126
35,23,New Mexico,Hidalgo County,Hidalgo County,4240,-108.7149795,31.91416794
38,23,North Dakota,Divide County,Divide County,2283,-103.4873444,48.81489064
6,71,California,San Bernardino County,San Bernardino County,2171603,-116.1784608,34.84143823
8,83,Colorado,Montezuma County,Montezuma County,26158,-108.5966698,37.33843397
28,23,Mississippi,Clarke County,Clarke County,15604,-88.68940444,32.04140167
19,125,Iowa,Marion County,Marion County,33407,-93.09943663,41.33445147
31,55,Nebraska,Douglas County,Douglas County,566880,-96.15447961,41.29535153
51,600,Virginia,Fairfax city,Fairfax city,24574,-77.29978807,38.85309836
