FID,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode,Longitude,Latitude,Population
271,Kancheepuram,Tamil Nadu,33,3,604,79.94786727,12.69516483,85110390
272,Kandhamal,Odisha,21,21,390,84.04724312,20.12889569,161558493
273,Kangra,Himachal Pradesh,2,2,24,76.31768857,32.10875025,168483355
275,Kannauj,Uttar Pradesh,9,29,160,79.68794444,27.01197233,256342715
276,Kanniyakumari,Tamil Nadu,33,28,629,77.3614288,8.306941482,275353655
277,Kannur,Kerala,32,2,589,75.52623774,12.00063312,189124081
278,Kanpur Dehat,Uttar Pradesh,9,32,163,79.85712955,26.44478304,569560930
279,Kanpur Nagar,Uttar Pradesh,9,33,164,80.21577874,26.38052424,147087767
280,Kansiram Nagar,Uttar Pradesh,9,71,202,78.84536973,27.77721577,77197445
281,Kapurthala,Punjab,3,2,36,75.4030719,31.35405867,22038670
633,Karaikal,Puducherry,34,4,637,79.80206264,10.93437793,153082506
628,Karauli,Rajasthan,8,9,107,76.96385107,26.52067904,90623508
282,Karbi Anglong,Assam,18,15,314,93.14870707,26.06545195,11321556
283,Kargil,Jammu & Kashmir,1,4,4,76.48445216,33.96660129,140325746
284,Karimganj,Assam,18,18,317,92.37745736,24.58130237,440166199
285,Karimnagar,Andhra Pradesh,28,3,534,79.2409022,18.54965438,196649245
286,Karnal,Haryana,6,6,74,76.88474814,29.68746215,150454978
287,Karur,Tamil Nadu,33,12,613,78.133091,10.84297821,149817416
288,Kasaragod,Kerala,32,1,588,75.15368157,12.46281751,66641792
289,Kathua,Jammu & Kashmir,1,7,7,75.59379903,32.5662659,341286124
290,Katihar,Bihar,10,10,212,87.64498622,25.54544649,160050149
291,Katni,Madhya Pradesh,23,33,450,80.40146352,23.75419977,161515713
292,Kaushambi,Uttar Pradesh,9,43,174,81.45359115,25.48874236,162478956
293,Kendrapara,Odisha,21,10,379,86.60969882,20.55312621,208684263
294,Kendujhar,Odisha,21,6,375,85.70507226,21.53708104,192507852
295,Khagaria,Bihar,10,21,223,86.60314633,25.5121829,320646779
296,Khammam,Andhra Pradesh,28,10,541,80.68730048,17.59691179,156720198
297,Kheda,Gujarat,24,16,483,73.01673337,22.87627509,215869946
298,Kheri,Uttar Pradesh,9,22,153,80.66704652,28.12251384,267956831
299,Khordha,Odisha,21,17,386,85.51141797,20.08996268,453112020
300,Khunti,Jharkhand,20,20,365,85.27454603,22.99771271,254976510
301,Kinnaur,Himachal Pradesh,2,12,34,78.41262461,31.59679441,55404416
302,Kiphire,Nagaland,13,9,269,94.82514248,25.84485552,8017825
303,Kishanganj,Bihar,10,8,210,87.93528264,26.29561546,7140143
304,Kishtwar,Jammu & Kashmir,1,18,18,76.01461666,33.52957596,194392938
305,Koch Bihar,West Bengal,19,3,329,89.3435762,26.2910654,24535098
306,Kodagu,Karnataka,29,22,576,75.8032746,12.32436411,308810481
307,Kodarma,Jharkhand,20,3,348,85.5955983,24.43703586,61792456
308,Kohima,Nagaland,13,10,270,94.12907594,25.78103872,80784077
309,Kokrajhar,Assam,18,1,300,90.13062862,26.51450831,19539482
310,Kolar,Karnataka,29,27,581,78.21769318,13.139328,87511598
311,Kolasib,Mizoram,15,2,282,92.72693592,24.19797206,165957947
312,Kolhapur,Maharashtra,27,34,530,74.15975187,16.46972519,6757881
313,Kolkata,West Bengal,19,16,342,88.35583957,22.5552572,452696638
314,Kollam,Kerala,32,13,600,76.87486982,8.960990521,469590652
315,Koppal,Karnataka,29,6,560,76.22186576,15.56174933,324750912
316,Koraput,Odisha,21,29,398,82.72126621,18.81654592,146563366
317,Korba,Chhattisgarh,22,5,404,82.61191111,22.53231279,156090916
318,Koriya,Chhattisgarh,22,1,400,82.23718987,23.46814067,151230541
319,Kota,Rajasthan,8,29,127,76.12931686,25.12413015,75338579
320,Kottayam,Kerala,32,10,597,76.65091935,9.63706546,220568861
321,Kozhikode,Kerala,32,4,591,75.83436124,11.48480105,234610405
322,Krishna,Andhra Pradesh,28,16,547,80.80066721,16.56264357,355530530
323,Krishnagiri,Tamil Nadu,33,30,631,78.03269387,12.4890385,534728239
324,Kulgam,Jammu & Kashmir,1,15,15,74.86057484,33.58818944,246067202
325,Kullu,Himachal Pradesh,2,4,26,77.40021755,31.90446731,47623951
326,Kupwara,Jammu & Kashmir,1,1,1,74.26605445,34.53193156,43739239
327,Kurnool,Andhra Pradesh,28,21,552,78.0061498,15.53362171,70556864
328,Kurukshetra,Haryana,6,4,72,76.78620072,30.04506965,480438867
329,Kurung Kumey,Arunanchal Pradesh,12,12,256,93.39240403,27.99982922,103819110
330,Kushinagar,Uttar Pradesh,9,58,189,83.93485492,26.86171036,6737181
331,Lahul & Spiti,Himachal Pradesh,2,3,25,77.6161344,32.48050617,388370494
332,Lakhimpur,Assam,18,8,307,94.12581003,27.16895706,2461928
333,Lakhisarai,Bihar,10,25,227,86.13116439,25.15546588,106207897
640,Lakshadweep,Lakshadweep,31,1,587,72.73505695,11.09106187,107651382
334,Lalitpur,Uttar Pradesh,9,36,167,78.56188273,24.65333642,8048186
335,Latehar,Jharkhand,20,14,359,84.44322596,23.71778706,139793064
336,Latur,Maharashtra,27,28,524,76.77508464,18.36052296,78705790
337,Lawangtlai,Mizoram,15,7,287,92.71319725,22.38360033,248014388
338,Leh (ladakh),Jammu & Kashmir,1,3,3,78.43591997,34.33883621,12014318
339,Lohardaga,Jharkhand,20,11,356,84.67002225,23.4756826,9855991
340,Lohit,Arunanchal Pradesh,12,15,259,96.19520901,27.84011907,51476924
341,Longleng,Nagaland,13,8,268,94.8003092,26.55540107,13344642
342,Lower Dibang Valley,Arunanchal Pradesh,12,14,258,95.88039526,28.37258241,4142773
343,Lower Subansiri,Arunanchal Pradesh,12,11,255,93.93907901,27.62554206,4726515
344,Lucknow,Uttar Pradesh,9,26,157,80.90673156,26.84157092,5326817
345,Ludhiana,Punjab,3,7,41,75.83815296,30.80874145,453204480
346,Lunglei,Mizoram,15,6,286,92.72258226,22.9719225,368338350
347,Madhepura,Bihar,10,11,213,86.89628758,25.82589217,16756013
348,Madhubani,Bihar,10,5,207,86.2179269,26.40566464,232006337
349,Madurai,Tamil Nadu,33,22,623,78.00629439,9.920962961,530142485
223,Mahamaya Nagar,Uttar Pradesh,9,13,144,78.16157563,27.57758815,355864491
350,Maharajganj,Uttar Pradesh,9,56,187,83.53325918,27.20252904,162229175
351,Mahasamund,Chhattisgarh,22,12,411,82.61281956,21.20709928,139459103
352,Mahbubnagar,Andhra Pradesh,28,7,538,78.14613402,16.49853102,399330489
353,Mahe,Puducherry,34,3,636,75.54153838,11.72667757,4036513
354,Mahendragarh,Haryana,6,16,84,76.14316678,28.17288876,105735936
