state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,encounters_rate_norm,daily_encounter_diff,AverageDiff
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/13/2020,6,POST,F,1,-0.174868923,F,1,-0.093767123,F,1,0.838766631,0.624074942,-0.375925058,-0.214853702
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/14/2020,7,POST,F,1.3,-0.271483099,D,2,-0.214504282,F,1,0.247639187,0.184253171,-0.815746829,-0.433911403
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/15/2020,1,POST,F,1.3,-0.25549162,D,2,-0.211340459,F,1,0.013475707,0.010026449,-0.989973551,-0.485601876
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/16/2020,2,POST,F,1,-0.189614506,F,1,-0.171149449,F,1,0.44466896,0.330850972,-0.669149028,-0.343304328
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/17/2020,3,POST,F,1,-0.232548569,F,1,-0.330082553,F,1,-0.044741101,-0.033289116,-1.033289116,-0.531973413
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/18/2020,4,POST,F,1,-0.214877795,F,1,-0.309463914,F,1,-0.13666037,-0.101680622,-1.101680622,-0.542007444
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/19/2020,5,POST,F,1.3,-0.303334478,D,2,-0.451725775,F,1,-0.122363512,-0.091043204,-1.091043204,-0.615367819
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/20/2020,6,POST,D-,1.7,-0.316277221,D,2,-0.565641256,D,2,-0.219963399,-0.16366131,-1.16366131,-0.681859929
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/21/2020,7,POST,D+,2.3,-0.436919869,C,3,-0.553864345,D,2,-0.455118128,-0.338625559,-1.338625559,-0.776469924
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/22/2020,1,POST,D-,1.7,-0.465332506,C,3,-0.484898655,F,1,-0.336625765,-0.25046264,-1.25046264,-0.7335646
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/23/2020,2,POST,D-,1.7,-0.403256655,C,3,-0.477613802,F,1,-0.329229523,-0.244959549,-1.244959549,-0.708610002
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/24/2020,3,POST,D,2,-0.410308744,C,3,-0.520852047,F,1,-0.492709335,-0.366594876,-1.366594876,-0.765918556
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/25/2020,4,POST,D+,2.3,-0.416142332,C,3,-0.565134355,D,2,-0.539488656,-0.401400508,-1.401400508,-0.794225732
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/26/2020,5,POST,D,2,-0.387581159,D,2,-0.564714364,D,2,-0.430184407,-0.320073902,-1.320073902,-0.757456475
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/27/2020,6,POST,D,2,-0.451656736,C,3,-0.555365796,D,2,-0.259270229,-0.192907117,-1.192907117,-0.733309883
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/28/2020,7,POST,D,2,-0.487267866,C,3,-0.587831882,D,2,-0.267390844,-0.198949171,-1.198949171,-0.758016306
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/29/2020,1,POST,D+,2.3,-0.534625389,C,3,-0.558490159,D,2,-0.471359359,-0.350709666,-1.350709666,-0.814608405
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/30/2020,2,POST,F,1.3,-0.382802746,D,2,-0.337518187,F,1,-0.276165671,-0.205477983,-1.205477983,-0.641932972
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,3/31/2020,3,POST,C-,2.7,-0.498834632,C,3,-0.644980538,C,3,-0.725947288,-0.54013297,-1.54013297,-0.89464938
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/1/2020,4,POST,D+,2.3,-0.512760566,C,3,-0.584602273,D,2,-0.656979992,-0.488818624,-1.488818624,-0.862060488
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/2/2020,5,POST,C-,2.7,-0.488008848,C,3,-0.606069664,C,3,-0.622467046,-0.463139652,-1.463139652,-0.852406055
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/3/2020,6,POST,D+,2.3,-0.464245696,C,3,-0.587586904,D,2,-0.436659659,-0.324891741,-1.324891741,-0.792241447
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/4/2020,7,POST,C,3,-0.553986785,B,4,-0.644387115,C,3,-0.496778984,-0.369622853,-1.369622853,-0.855998918
MD,24,Maryland,24037,St. Mary's County,112664,2021-01-25 13:52:04.598522 UTC,4/5/2020,1,POST,C,3,-0.594235391,B,4,-0.601869177,C,3,-0.581860134,-0.432926532,-1.432926532,-0.8763437
