Num,startDate,AG04AsymptomaticRate,AG04HospRate,AG04MortalityRate,AG517AsymptomaticRate,AG517HospRate,AG517MortalityRate,AG1849AsymptomaticRate,AG1849HospRate,AG1849MortalityRate,AG5064AsymptomaticRate,AG5064HospRate,AG5064MortalityRate,AG65AsymptomaticRate,AG65HospRate,AG65MortalityRate,IncubationTime,mildContagiousTime,symptomaticTime,hospitalSymptomaticTime,ICURate,ICUtime,PostICUTime,preHospTime,EDVisit,preContagiousTime,postContagiousTime,NumInfStart,householdcontactRate,ProbabilityOfTransmissionPerContact,symptomaticContactRateReduction,hospitalSymptomaticContactRateReduction,ImportationRate,InterventionRate,InterventionRateLow,InterventionMobilityEffect,AsymptomaticReducationTrans,InterventionPerIncrease,locked,InterventionEndPerIncrease
107,2020-02-14,0.99,0.01,0.0002,0.99,0.01,0.0002,0.906166588,0.03377802,0.039422704,0.849935304,0.242500505,0.109138387,0.8403814,0.257331567,0.318604354,2.070243845,5.691303341,8.603176538,6.920578817,0.232992251,16.73657248,3.537891556,7.049036565,0.362432662,1.306561073,1.330353262,71,36,0.03952508,0.624651085,0.792980295,5,0.24,0.65,0.78,0.884883811,0.16,0,0.553172231
108,2020-02-06,0.99,0.01,0.0002,0.99,0.01,0.0002,0.875589211,0.032759462,0.039172708,0.848416632,0.268892646,0.100458026,0.812818626,0.256012325,0.33937453,3.012398679,5.365515093,9.952823785,6.494714343,0.166399355,17.11961005,4.470173163,5.35423866,0.230517493,2.288231691,1.448909093,48,36,0.04030511,0.618291126,0.87512233,4,0.19,0.64,0.81,0.798387615,0.18,0,0.588910266
109,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.934337127,0.041716789,0.02518543,0.759590018,0.243114706,0.131160375,0.792646016,0.234671941,0.320143012,2.480682648,4.862071952,8.035529525,6.471797732,0.196708274,16.54155701,4.353370206,6.76479314,0.216287634,2.639542984,1.987093431,97,36,0.039474331,0.750651466,0.561089994,6,0.36,0.42,0.77,0.863573533,0.31,0,0.684947066
110,2020-02-10,0.99,0.01,0.0002,0.99,0.01,0.0002,0.877016935,0.039075209,0.028068511,0.776532573,0.240290457,0.111664792,0.781003178,0.245319802,0.32137246,2.083713378,5.555629411,9.364548301,6.031125945,0.211576671,15.17881078,3.984747873,6.812394187,0.388071862,1.165874194,1.109064844,32,36,0.040812006,0.811335964,0.813917103,8,0.39,0.65,0.74,0.737549859,0.43,0,0.10695819
111,2020-02-14,0.99,0.01,0.0002,0.99,0.01,0.0002,0.889105113,0.030767909,0.021411809,0.761899226,0.251068454,0.136634293,0.867258271,0.24157395,0.353460097,2.68392611,4.655570319,8.230214189,6.94064779,0.193179171,16.04454263,3.566190238,7.794132981,0.35813919,2.876338759,1.80985047,30,36,0.037588211,0.849132902,0.717975505,10,0.16,0.47,0.73,0.870177619,0.43,0,0.574628502
112,2020-02-08,0.99,0.01,0.0002,0.99,0.01,0.0002,0.907542634,0.043146995,0.031494681,0.766468504,0.232267954,0.136253067,0.706819361,0.2406605,0.329932455,3.308820896,5.3324856,9.259098726,6.726357031,0.223686576,16.64409535,4.135003944,5.345273222,0.220612338,1.046246165,1.230962237,39,36,0.0405957,0.790458754,0.872275611,6,0.2,0.42,0.73,0.87837235,0.5,0,0.622417766
113,2020-02-05,0.99,0.01,0.0002,0.99,0.01,0.0002,0.925681441,0.045940763,0.036925168,0.813871279,0.232682487,0.121836826,0.749068773,0.257858566,0.361125113,2.746088863,4.35294229,9.559283109,5.186831636,0.234146249,15.48399979,4.10036501,7.211536748,0.26827804,2.63642402,1.024771197,52,36,0.0394793,0.871322448,0.824051257,4,0.18,0.41,0.84,0.86372517,0.18,0,0.440061193
114,2020-02-10,0.99,0.01,0.0002,0.99,0.01,0.0002,0.91485097,0.039148195,0.026478025,0.766607754,0.269292345,0.12583889,0.787562697,0.232215123,0.302577764,2.786429716,4.918117305,9.923843284,6.033698872,0.180364811,16.72413767,3.111284155,5.313148433,0.388136276,1.684453403,1.415571194,28,36,0.041832324,0.684031455,0.631350362,10,0.28,0.52,0.86,0.76241251,0.3,0,0.584792952
115,2020-02-13,0.99,0.01,0.0002,0.99,0.01,0.0002,0.937464693,0.047071421,0.023642246,0.835873954,0.260621447,0.13363196,0.80963296,0.23200578,0.333745884,2.418947318,5.872305154,8.709711069,5.292716024,0.165488053,15.60756614,3.464194888,5.160399025,0.200730865,1.480410957,1.422939067,51,36,0.037646738,0.65941504,0.808313928,4,0.33,0.44,0.7,0.878921785,0.24,0,0.839322129
116,2020-02-06,0.99,0.01,0.0002,0.99,0.01,0.0002,0.923377425,0.047802331,0.032950348,0.72431593,0.23969503,0.14838804,0.777187422,0.26599351,0.348929671,3.457233522,4.656013389,8.760220014,6.226086213,0.245906107,17.1498736,4.292640442,5.340766599,0.208945313,2.591095594,1.347896933,98,36,0.041907933,0.767515359,0.60237891,6,0.13,0.42,0.9,0.723587896,0.15,0,0.283070903
117,2020-02-11,0.99,0.01,0.0002,0.99,0.01,0.0002,0.859520497,0.040958781,0.035864539,0.857828186,0.249546818,0.13920062,0.753106918,0.25549234,0.30323064,2.351563695,4.369508771,9.904856843,6.44064424,0.197092162,15.64005832,3.220148065,6.638865162,0.207345355,2.398648759,1.448331975,83,36,0.038569801,0.748450694,0.834593247,3,0.21,0.54,0.87,0.895055337,0.29,0,0.690706411
118,2020-02-12,0.99,0.01,0.0002,0.99,0.01,0.0002,0.850126125,0.035406437,0.036217887,0.782728446,0.257651316,0.128414117,0.899632849,0.233980241,0.326966749,2.215342045,5.408689813,9.436032345,6.460052892,0.222029996,15.97110216,3.213452305,5.333452188,0.358796277,1.131336154,1.314049258,67,36,0.037100881,0.88636661,0.572045139,3,0.34,0.6,0.78,0.865538319,0.49,0,0.494347841
119,2020-02-09,0.99,0.01,0.0002,0.99,0.01,0.0002,0.930253216,0.042837023,0.038001933,0.846585533,0.238242609,0.136807164,0.783687828,0.233443716,0.326810672,3.732160781,4.841007589,9.852201575,6.892690414,0.229457784,17.53527242,4.254254038,5.005843671,0.38618193,2.858494413,1.199517037,27,36,0.041821224,0.744323976,0.761786282,8,0.25,0.64,0.7,0.889735873,0.12,0,0.757673254
120,2020-02-07,0.99,0.01,0.0002,0.99,0.01,0.0002,0.891947515,0.045217099,0.03951537,0.704549349,0.234295159,0.116120979,0.858757951,0.253621101,0.354472256,3.03967624,5.105672611,9.744492047,6.62861525,0.245740007,16.20409938,3.356272685,6.058527061,0.277060027,1.828939188,1.118513902,47,36,0.039947535,0.896147112,0.875237726,10,0.38,0.65,0.81,0.628925165,0.31,0,0.852569614
