ZIP,COUNTYNAME,STATE,STCOUNTYFP,CLASSFP
20737,Prince George's County,MD,24033,H1
20912,Prince George's County,MD,24033,H1
20903,Prince George's County,MD,24033,H1
20738,Prince George's County,MD,24033,H1
20725,Prince George's County,MD,24033,H1
20389,Prince George's County,MD,24033,H1
20707,Prince George's County,MD,24033,H1
20712,Prince George's County,MD,24033,H1
20607,Prince George's County,MD,24033,H1
20783,Prince George's County,MD,24033,H1
20762,Prince George's County,MD,24033,H1
20744,Prince George's County,MD,24033,H1
20745,Prince George's County,MD,24033,H1
20775,Prince George's County,MD,24033,H1
20757,Prince George's County,MD,24033,H1
20623,Prince George's County,MD,24033,H1
20731,Prince George's County,MD,24033,H1
20724,Prince George's County,MD,24033,H1
20721,Prince George's County,MD,24033,H1
20601,Prince George's County,MD,24033,H1
20774,Prince George's County,MD,24033,H1
20787,Prince George's County,MD,24033,H1
20740,Prince George's County,MD,24033,H1
20743,Prince George's County,MD,24033,H1
20735,Prince George's County,MD,24033,H1
20773,Prince George's County,MD,24033,H1
20791,Prince George's County,MD,24033,H1
20708,Prince George's County,MD,24033,H1
20720,Prince George's County,MD,24033,H1
20705,Prince George's County,MD,24033,H1
20785,Prince George's County,MD,24033,H1
20770,Prince George's County,MD,24033,H1
20742,Prince George's County,MD,24033,H1
20752,Prince George's County,MD,24033,H1
20709,Prince George's County,MD,24033,H1
20616,Prince George's County,MD,24033,H1
20395,Prince George's County,MD,24033,H1
20710,Prince George's County,MD,24033,H1
20746,Prince George's County,MD,24033,H1
20782,Prince George's County,MD,24033,H1
20781,Prince George's County,MD,24033,H1
20748,Prince George's County,MD,24033,H1
20768,Prince George's County,MD,24033,H1
20769,Prince George's County,MD,24033,H1
20726,Prince George's County,MD,24033,H1
20717,Prince George's County,MD,24033,H1
20753,Prince George's County,MD,24033,H1
20588,Prince George's County,MD,24033,H1
20722,Prince George's County,MD,24033,H1
20747,Prince George's County,MD,24033,H1
20718,Prince George's County,MD,24033,H1
20750,Prince George's County,MD,24033,H1
20790,Prince George's County,MD,24033,H1
20409,Prince George's County,MD,24033,H1
20706,Prince George's County,MD,24033,H1
20716,Prince George's County,MD,24033,H1
20784,Prince George's County,MD,24033,H1
20608,Prince George's County,MD,24033,H1
20704,Prince George's County,MD,24033,H1
20741,Prince George's County,MD,24033,H1
20904,Prince George's County,MD,24033,H1
20599,Prince George's County,MD,24033,H1
20613,Prince George's County,MD,24033,H1
20233,Prince George's County,MD,24033,H1
20792,Prince George's County,MD,24033,H1
20771,Prince George's County,MD,24033,H1
20772,Prince George's County,MD,24033,H1
20749,Prince George's County,MD,24033,H1
20703,Prince George's County,MD,24033,H1
20799,Prince George's County,MD,24033,H1
21668,Queen Anne's County,MD,24035,H1
21619,Queen Anne's County,MD,24035,H1
21649,Queen Anne's County,MD,24035,H1
21679,Queen Anne's County,MD,24035,H1
21670,Queen Anne's County,MD,24035,H1
21666,Queen Anne's County,MD,24035,H1
21620,Queen Anne's County,MD,24035,H1
21607,Queen Anne's County,MD,24035,H1
21638,Queen Anne's County,MD,24035,H1
21617,Queen Anne's County,MD,24035,H1
