state_code,state_fips,state_name,county_fips,county_name,county_population,last_updated,date,weekday,covid,grade_total,n_grade_total,daily_distance_diff,grade_distance,n_grade_distance,daily_visitation_diff,grade_visitation,n_grade_visitation,encounters_rate,grade_encounters,n_grade_encounters
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-27,2,POST,D+,2.3,-0.339449977,D,2,-0.628857792,C,3,-0.424958697,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-28,3,POST,D+,2.3,-0.296760728,D,2,-0.613720299,C,3,-0.453202959,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-29,4,POST,D-,1.7,-0.30255929,D,2,-0.581276356,D,2,-0.321174009,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-04-30,5,POST,D,2,-0.40325306,C,3,-0.539923121,F,1,-0.636382933,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-01,6,POST,C-,2.7,-0.41042737,C,3,-0.608144496,C,3,-0.558099625,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-02,7,POST,D+,2.3,-0.398868617,D,2,-0.64105129,C,3,-0.57218469,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-03,1,POST,C,3,-0.518373817,C,3,-0.688948938,B,4,-0.588197185,D,2
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-04,2,POST,D,2,-0.382806035,D,2,-0.643375637,C,3,-0.390561486,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-05,3,POST,D-,1.7,-0.298495025,D,2,-0.559476484,D,2,-0.190479434,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-06,4,POST,D,2,-0.316810291,D,2,-0.612758866,C,3,-0.221837237,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-07,5,POST,D-,1.7,-0.288984888,D,2,-0.578479662,D,2,-0.132878933,F,1
MD,24,Maryland,24045,Wicomico County,103195,2020-12-30 14:13:35.13358 UTC,2020-05-08,6,POST,D,2,-0.3227769,D,2,-0.602291869,C,3,0.076395477,F,1
